	Eternal Living Fragrance,万古生香,ばんこしょうかおり
100 Nen no Kurayami no Naka de,100年の暗闇の中で,ひゃくねんのくらやみのなかで
100 Nen no Kurayami no Naka de,100年の暗闇の中で,ひゃくねんのくらやみのなかで
100 Nengo no Sora,100年後の空,ひゃくねんごのそら
100-dome no Rock Star,100度目のロックスター,ひゃくどめのろっくすたー
1000-nen Ikiteru,1000年生きてる,せんねんいきてる
101 Kaime no Sakura,101回目の桜,ひゃくいちかいめのさくら
101-kai-me no Nikubanare,101回目の肉離れ,ひゃくいちかいめのにくばなれ
10nen,10年,じゅうねん
10Nen,10年,じゅうねん
10Nen,10年,じゅうねん
11 Gatsu no Yuuutsu,11月の憂鬱,じゅういちがつのゆううつ
12 fan club,一二中文部,かずじちゅうもんぶ
12 Tatami Dining,十二畳ダイニング,じゅうにじょうだいにんぐ
12 Tsuki no Uta,12月のうた,じゅうにがつのうた
12-fun no Kiseki,12分のきせき,じゅうにふんのきせき
12-ji 5-bun no Mahou ga Tokeru Toki,12時5分の魔法が解ける時,じゅうにじごふんのまほうがとけるとき
12/32 β,12月32日 β,じゅうにがつさんじゅうににちべーた
13 Byougo no Mirai,13秒後の未来,じゅうさんびょうごのみらい
13 Kaidan no Suberi Unchi,13階段のすべりうんち,じゅうさんかいだんのすべりうんち
13 Kaidan no Suberidai,13階段のすべりだい,じゅうさんかいだんのすべりだい
13-Sai no Satsujinki,13歳ノ殺人鬼,じゅうさんさいのさつじんき
13th Door,13番目の扉,じゅうさんばんめのとびら
13th reincarnation,13回目のリンカーネーション,じゅうさんかいめのりんかーねーしょん
14 Sai no Dokugaron x Polyphony,14歳の独我論×ポリフォニー,じゅうよんさいのどくがろんかけるぽりふぉにー
14 Sai no Tanjōbi,14歳の誕生日,じゅうよんさいのたんじょうび
14 Sai,14歳,じゅうよんさい
15-nichi no Nichiyoubi,15日の日曜日,じゅうごにちのにちようび
16-Sai to Guitar Rock,16歳とギターロック,じゅうろっさいとぎたーろっく
16-sai,16才,じゅうろっさい
16-sai,16才,じゅうろっさい
17 Minutes,17分,じゅうななふん
17-ji 15-fun Hatsu Mitaka Iki,17時15分発 三鷹行き,じゅうしちじじゅうごふんはつみたかいき
17-kaime no Birthday,17回目のバースデー,じゅうななかいめのばーすでー
17-sai,17才,じゅうななさい
17-sai,17歳,じゅうななさい
18 no Sentakki,18の洗濯機,のせんたくき
18 no Sentakki,18の洗濯機,のせんたくき
18 Octave Han Dasenai to Utaite ni wa Naremasen,18オクターブ半だせないと歌い手にはなれません,おくたーぶはんだせないとうたいてにはなれません
18-sai no Uta.,18歳のうた。,じゅうはっさいのうた
18:47:43 no Shoushitsu,18時47分43秒の消失,じゅうはちじよんじゅうななふんよんじゅうさんびょうのしょうしつ
180-nichi no Koi,180日の恋,ひゃくはちじゅうにちのこい
191 Byou no Kousa Shita Kuukan ni Okareru 1104 Haku.,191秒の交差した空間に置かれる1104拍。,ひゃくきゅうじゅういちびょうのこうさしたくうかんにおかれるはく
1970 Love,恋は1970,こいは
1970 Love,恋は1970,こいは
1996 Nen no Akumu,1996年の悪夢,せんきゅうひゃくきゅうじゅうろくねんのあくむ
2 O'clock At Night,眠れない午前2時,ねむれないごぜんにじ
20-dai no Omoide,20代の思い出,にじゅうだいのおもいで
20-ji no Yakusoku,20時の約束,にじゅうじのやくそく
2000 digits pi Incarnation,インカーネイションで円周率2000桁に挑戦,いんかーねいしょんでえんしゅうりつけたにちょうせん
2000 digits pi Plug Out,プラグアウトで円周率2000桁に再挑戦,ぷらぐあうとでえんしゅうりつけたにさいちょうせん
2015 Hatsune Miku Hasshuunen Tanjou Matsuri・Goudou Daiseisaku,2015初音ミク八周年誕生祭・中国合同大制作,はつねみくはちしゅうねんたんじょうさいちゅうごくごうどうだいせいさく
2016,二〇一六,にれいいちろく
2016,二〇一六,にれいいちろく
20171227 ~Kimi to Tomo ni~,20171227ーキミと共にー,ーきみとともにー
21 Seiki Boukyaku no Curiosity,21世紀忘却のキュリオシティ,にじゅういっせいきぼうきゃくのきゅりおしてぃ
21 Seiki Boukyaku no Curiosity,21世紀忘却のキュリオシティ,にじゅういっせいきぼうきゃくのきゅりおしてぃ
21 Seiki Exemplify,21世紀イグゼンプリファイ,にじゅういっせいきいぐぜんぷりふぁい
21 Seiki made Aishite,21世紀まで愛して,にじゅういっせいきまであいして
21 Seiki no Komesoudou,21世紀の米騒動,にじゅういっせいきのこめそうどう
21-ji,21時,にじゅういちじ
21-Ji,21時,にじゅういちじ
21st Century Schizoid Man,21世紀の精神異常者,にじゅういっせいきのせいしんいじょうしゃ
21st Century Schizoid Man,21世紀の精神異常者,にじゅういっせいきのせいしんいじょうしゃ
22 Seiki no Bokura wa,22世紀の僕らは,にじゅうにせいきのぼくらは
22 Seiki Ondo,22世紀音頭,にじゅうにせいきおんど
22 year old NEET,ニート22才,にーとにじゅうにさい
23 ji 59 fun 50 byou,23時59分50秒,にじゅうさんじごじゅうきゅうふんごじゅうびょう
23-ji 57-bu,23時57分,にじゅうさんじごじゅうななふん
23,二十三,にじゅうさん
23ji51pun,23時51分,にじゅうさんじごじゅういっぷん
24 Jikan Ikirareru Ticket,24時間生きられるチケット,にじゅうよじかんいきられるちけっと
24 o'clock Bell Rings,24時の鐘が鳴る,にじゅうよじのかねがなる
24-Hour Cinderella,24時間シンデレラ,にじゅうよじかんしんでれら
25ji,25時,にじゅうごじ
26ji no Loving Rabit,26時のラヴィラビ,にじゅうろくじのらゔぃらび
3 Byoukan,3秒間,さんびょうかん
3 Funkan no Mahou,3分間の魔法,さんぷんかんのまほう
3 Kelvin no Sekai,3ケルビンの世界,けるびんのせかい
3 Tsu Me no Shinya ga Sameru Made,3つ目の深夜が冷めるまで,みっつめのしんやがさめるまで
3-Byou Rule,3秒ルール,さんびょうるーる
3-gatsu 27-nichi,3月27日,さんがつにじゅうしちにち
3-gatsu 27-nichi,3月27日,さんがつにじゅうしちにち
3-pun no Kyoku wo Kiku no ni Kakaru Jikan wa 3-pun,3分の曲を聴くのにかかる時間は3分,さんぷんのきょくをきくのにかかるじかんはさんぷん
3.9-Byou no Message Song,3.9秒のメッセージソング,きゅうびょうのめっせーじそんぐ
30 Minutes,30 минут,минут
30 Minutes,30 минут,минут
30-byou de Chikara wo Tsukaihashita Miku Kyoku,30秒で力を使い果たしたミク曲,さんじゅうびょうでちからをつかいはたしたみくきょく
30% sweetness bubble tea,珍珠奶茶三分甜,ちんじゅ奶茶みぶん甜
3000 digits pi Stratosphere,ストラトスフィアで円周率3000桁に挑戦,すとらとすふぃあでえんしゅうりつけたにちょうせん
303 Araburu.,303 荒ぶる。,すさぶる
3153-man 6000-byou-buri ni Kanojo e Ai ni Yuku yo,3153万6000秒ぶりに彼女へ逢いに行くよ,まんびょうぶりにかのじょへあいにいくよ
3153-man 6000-byou-buri ni Kanojo e Ai ni Yuku yo,3153万6000秒ぶりに彼女へ逢いに行くよ,まんびょうぶりにかのじょへあいにいくよ
334-nin no Teki,334人の敵,さんびゃくさんじゅうよにんのてき
334-nin no Teki,334人の敵,さんびゃくさんじゅうよにんのてき
345do no Kyoukaisen,345度の境界線,さんびゃくよんじゅうごどのきょうかいせん
365days / Mr.Children,365日,さんびゃくろくじゅうごにち
39 do no Yume,39度の夢,さんじゅうきゅうどのゆめ
39!! for unjust thing,理不尽に39!!,りふじんに
392 Oku 7948 Man 1555 Hitome no Ohime-sama,392億7948万1555人目のお姫様,おくまんせんごひゃくごじゅうごにんめのおひめさま
4-gatsu 44-nichi,4月44日,しがつよんじゅうよんにち
4-Ji 44-Bu,4時44分,よじよんじゅうよんぷん
4-Tsuki 18-Nichi,4月18日,しがつじゅうはちにち
4.5-byou no Yume no Naka,4.5秒の夢の中,ごびょうのゆめのなか
4.7 Inches no Uchuu,4.7インチの宇宙,なないんちのうちゅう
40sai kurai de shinitai.,40歳くらいで死にたい。,よんじっさいくらいでしにたい
45-byou,45秒,よんじゅうごびょう
45-byou,45秒,よんじゅうごびょう
45-byou,45秒,よんじゅうごびょう
45-byou,45秒,よんじゅうごびょう
49 Days Ago,49日前,よんじゅうくにちまえ
4U,君をのため,きみをのため
5 fun dake de ii kara,5分だけでいいから,ごふんだけでいいから
5 Minutes Before Court,開廷5分前,かいていごふんまえ
5-fun dake no Wagamama,5分だけのわがまま,ごふんだけのわがまま
5-gatsu/Goodbye Flowering Days,5月/グッドバイ・フラワリング・デイズ,ごがつぐっどばいふらわりんぐでいず
5-jikan to 5-fun to 5-byou no Uta,5時間と5分と5秒の歌,ごじかんとごふんとごびょうのうた
50oku no Hoshi wo Koete,50億の星を越えて,ごじゅうおくのほしをこえて
51 Ban,51番,ごじゅういちばん
51 Ban,51番,ごじゅういちばん
51-kaime no Uchuu,51回目の宇宙,ごじゅういちかいめのうちゅう
6 Haya Gia (gori okami),6速ギア(ゴリ女将),そくぎあごりおかみ
6 Tsuki 14 Nichi,6月14日,ろくがつじゅうよっか
6-ji 59-fun Travel,6時59分トラベル,ろくじごじゅうきゅうふんとらべる
6-ji 59-fun Travel,6時59分トラベル,ろくじごじゅうきゅうふんとらべる
60-Byou de shasei shite!,60秒で射精して!,ろくじゅうびょうでしゃせいして
60-Byou de shasei shite!,60秒で射精して!,ろくじゅうびょうでしゃせいして
60oku no Okaeri,60億のおかえり,ろくじゅうおくのおかえり
60oku no Okaeri,60億のおかえり,ろくじゅうおくのおかえり
7 Sea's,7つの海,ななつのうみ
7-Banme no Boku,7番目の僕,ななばんめのぼく
7-Banme no Boku,7番目の僕,ななばんめのぼく
7-Byou no Ryouomoi,7秒の両想い,ななびょうのりょうおもい
7-Byou no Ryouomoi,7秒の両想い,ななびょうのりょうおもい
7-gatsu no Calendar,7月のカレンダー,しちがつのかれんだー
7-getsu no Calendar,7月のカレンダー,しちがつのかれんだー
7-ji no News/Kiyoshiko no Yoru,7時のニュース/きよしこの夜,しちじのにゅーすきよしこのよる
70 Okunin no Atama no Ue ni Fuusen wo,70億人の頭の上に風船を,ななじゅうおくじんのあたまのうえにふうせんを
7150 Days,7150日,にち
8-gatsu no Pianist,8月のピアニスト,はちがつのぴあにすと
8/31,8月31日,はちがつさんじゅういちにち
80 Syosetsu no Love Song,80小節のラブソング,しょうせつのらぶそんぐ
8mm Hae no Omoi ni Yosete,8ミリ映えの想いに寄せて,はちみりはえのおもいによせて
99,9苦,く
A Book of Love Letters,一冊のラブレター,いちさつのらぶれたー
A Born Coward,天之弱,てんのじゃく
A bouquet of flowers to smiling you,微笑む君に、花束を,ほほえむきみにはなたばを
a boy without color,空蝉,うつせみ
a bride rocket,飛んでけ花嫁,とんでけはなよめ
A Broad Bicycle Operation and the Coaxing Bean Paste Dango ,あまねく自転車操業とまるめ込み餡団子,あまねくじてんしゃそうぎょうとまるめこみあんだんご
A capella Senbonzakura,アカペラで千本桜,あかぺらでせんぼんざくら
A Cat's Tears,猫の涙,ねこのなみだ
A Certain Prostitute's Love,とある娼婦の恋,とあるしょうふのこい
A certain reality,或るリアル,あるるりある
A Collapsed Civilization and a Snow Bunny,崩壊文明と雪兎,ほうかいぶんめいとゆきうさぎ
A comedy -1031 The Party Time is Before Nightmare-,喜劇 ー1031パーティータイムはビフォア・ナイトメアー,きげきーぱーてぃーたいむはびふぉあないとめあー
A Cruel Angel's Thesis,残酷な天使のテーゼ,ざんこくなてんしのてーぜ
A Dangerous Meeting,危険なミーティング,きけんなみーてぃんぐ
A day the sea is rumbling,海鳴り揺れる日の,うみなりゆれるひの
A Defective State,曲り形な容,まがりがたなよう
Ā Diāo,阿刁,おもね刁
A fruit,果物,くだもの
a funny farewell story,愉快な別れ話,ゆかいなわかればなし
A Girl with Umbrella,少女と傘,しょうじょとかさ
A Guardian of the Binary World,ディリクレの守護者 ,でぃりくれのしゅごしゃ
A Kappa is Boiling Slugs in My Kitchen,キッチンでカッパがタニシ茹でてる,きっちんでかっぱがたにしゆでてる
A lead princess in colorless world,色偸るセカイの鉛姫,いろ偸るせかいのなまりひめ
A letter with no address,宛名のない封筒,あてなのないふうとう
A Liar's World,嘘つきの世界,うそつきのせかい
A Lie and a Stuffed Animal,嘘とぬいぐるみ,うそとぬいぐるみ
A Lie and a Stuffed Animal,嘘とぬいぐるみ,うそとぬいぐるみ
A Love Song Without Talent,才能の無い愛の歌,さいのうのないあいのうた
A Love Song Without Talent,才能の無い愛の歌,さいのうのないあいのうた
A loved one,愛しい人,いとしいひと
A lowering sky,雨模様,あめもよう
A lowering sky,雨模様,あめもよう
A Melting Pot of Hostility,敵意の坩堝,てきいのるつぼ
A Message From The Headless Knight,無頭騎士の伝言,むあたまきしのでんごん
A name of the universe,世界の名前,せかいのなまえ
A Night Sky With You,君との夜風,きみとのやふう
A Night Sky With You,君との夜風,きみとのやふう
a one-way ticket in one's life,人生の片道キップ,じんせいのかたみちきっぷ
a Painter + a Flower,画家と花,がかとはな
a person of longing,憧れの人,あこがれのひと
A piece of treasure,宝物のかけら,ほうもつのかけら
A Pistol Pierces through the Rain in an Instant,雨が降る瞬間に突き抜けるピストル,あめがふるしゅんかんにつきぬけるぴすとる
