Kokoro,ココロ
,I Smile
,リトルパレード
,Dreaming in Meijo Line
,Hero
Ton Ton Mae!,とんとんまーえ！
,The B♥chy Idol
,头发的特技
,蓝翔快书
,Subject of the Witch Hunt
,If I Were Real
,Schwarzer Regen
Daisoushi,大宗師
,汝之神
Maindo Burando,マインドブランド
Garakuta to Kagayakanai Hoshi,ガラクタと輝かない星
Moukyoujo,孟姜女
,The Boy With No Eyes
,The Botanist
,I Built A Spaceship
Han'nya no Men -Mask of hannya-,般若の面 -Mask of hannya-
,winner loser
,Prelude to Midnight
,Through The Looking Glass
,The Owl Dreams Of Night
,So I'm scared
Mangetsu no Jikkenshitsu,満月の実験室
,Remains
,Happyland
Umitagari,うみたがり
,Can I go to the city of God?
,I Don't Care
,I Fall
,Trains and Tickets
,7h50
,My Name Is Oliver
,Haunted Night
Doushite-chan no Teema,どうしてちゃんのテーマ
,The Peace Inside
,I'll Go With You
,Witches' Eye
,To Kill A Sun
,MKB
,我的世界
,怪物大暴走
,Killer's Waltz
,Clear Sight
,jewel
Utautai no Uta,うたうたいのうた
,Dark Candy
,与吃货恋爱的唯一方法？！
,长夜雨
,回忆里
,病态的我
,夜祭
,雨后
,Dragoon
Tsumetai Te,冷たい手
Meryuu,メリュー
,一梦千朝
,呓语红尘
,桥驿听雨落
,天使夢
,陨星
,你能否听见
,蒲公英之路
732 Nichi,732日
,梦语
,至爱·Ecstasy
,藍色書箋
,Flowering
,チルダマチルダ
Mirai no Uta,未来の歌
Watashi no Nanatsu no Oiwai ni,私ノ七ツノオ祝イニ
,宿命论
Homura Hime,焔姫
,班长与女王
,PAON
Barerii Ko,バレリーコ
Monkii Dansu no Sennou Jutsu,モンキーダンスの洗脳術
Futariboshi,フタリボシ
Gosenfu no Ura no Love Letter,五線譜の裏のラブレター'
Kamigami no Shimon,神々の指紋
Sandee Rabu Jetto Juusu,サンデーラブジェットジュース
Kuiin Obu Haato,クイーンオブハート 
,REVOLVER
Ame,雨
,IN THE SILENCE
,『TEARS』
,『I for you』
,MOMOIRO♡DEMPA
,华心彩
Toraianguru☆gaaruzu haato,とらいあんぐる☆Girl's Heart
,Scene zero
,SETSUNA
Suiito Dekora Aisu Kuriimu Horikku,スイートデコラアイスクリームホリック
Rin Rin Rintte Shitekurin♪,リンリンリンってしてくりん♪
Yuugure Nosutarujikku,夕暮れノスタルジック
Tsuukasei Majikku Pen,通過性マジックペン
,Let'sStart
Kotonoha Yuugi,言ノ葉遊戯
,Shooting Star Prologue
,バスストップシケィン
,Pushing Daisies
Kikoete Imasu ka,聴こえていますか
Oshiete!! Mahou no Lyric,教えて!! 魔法のLyric
,Lavender Tone
Hoshi wo Tsukuru Hito,ほしをつくるひと
,狼王梦
,Seattle物语 II
,ミスタアクレイヂイ
,Torschlusspanik
,八辈子
Peyangu Dabaa,ペヤングだばあ
Juunanasai no Shinigami,十七歳の死神
,Drifting
,The New ERA
,巴洛克
,dokidoki绫
Kuusou Shoumonai Hibi,空想しょうもない日々
,Dreamlander
,拉美西斯
,Inlight
,東京サマーセッション
,Hands
,都市怪盜與鄉村偵探
Aka Pen Onegai Shimasu,赤ペンおねがいします
,魔法厨娘
Ai to Uragirisu,愛とウラギリス
,Fly Away
,欺骗师
,Forgotten Girl
Pinku Muun,ピンクムーン
,Magical Sound Shower
Hajimemashite Chikyuujin-san,はじめまして地球人さん
Analoguma no Uta,アナロ熊のうた
Kuroi Tou no Ouji,黒い塔の王子
Zekkyou Paranoia,絶境パラノイア
Hoshiori Uta,星織り唄
,囚系循环
Kaizoku F no Shouzou,海賊Fの肖像
Mama,ママ
,Poison (Thanks for Nothing)
,莫名的呕吐感
Yuuhigaoka ni Saita Hana wa,夕陽ケ丘に咲いた花は
,- IT IS -
,Silent Snow
Mistletoe ~Tamashii no Yadorigi~,ミスルトウ～魂の宿り木～
,to irritation
,废墟之蝶
,Always Be ^o^
,Adam
,SHaDoW PeoPLe
,GODdess of glutTONS
Seimeitsuki Dacchiwaifu,生命付ダッチワイフ
,葬歌
,Box
,phantasMuse
,The Playground
,韶音赋
,EXpres
,无尽深渊Darkness
,Someone
,Smile For Me
,偶像梦工厂
,アカシック・レコード
Hoshi ni Dakarete,星に抱かれて
Mei,メイ
,圈圈点点圈圈点点圈圈点点?
Saki Hana,咲花 -Saki Hana-
,下一站。與你
,轮盘
,Trémail Cpt.2 思念尘埃
,Hand in Hand
,ɐᴉsɐʇuɐℲ ǝslɐℲ
,Kaleidoscope Haze
,梦之森
Asa Iro no Kami Hikouki,朝色の紙飛行機
,焉有曲
Miku-chan no Tezukuri Shinfonia,ミクちゃんの手作りシンフォニア
,無名之夢
,WITHOUT END
Tantei★IA-chan VS Kaitou☆Yukarin,探偵★IAちゃん VS 怪盗☆ゆかりん！
,Be Your Own Hero
,染殇
,PLASTIC GARDEN
,A dark illusion
,Forever Forlorn
,"Goth Moth, Brudder, and the Cries of the Woodwind-Legged Folk"
,Y̺̼͖ͨ̊o͙̤̒ͮ̃̇ṵ̼̱͇̈̉ͯͯ͆͒̍n̠̞͖̰ͨͬ͗g̲̩ͯ͆̀͗ͮ ̖ͦ̂A̟b̃̓̾͐i̻g͓͙̺͈̤̒ͫͧͣͬa̾ͭͬ͑̊i̗̬͕̻̬ͮ͋ͮ̅l̝͔̒'
,轮回的克鲁赛德
,You're My Star
,"Spanish: ""'''Yo sueño"
,White Day
,"Spanish: ""'''VUELA"
,Unresolved
,Permulaan Baru
,Live Your Life
Amagasa Kakumei,雨傘革命
,Deride
,"Silence,fear"
,Story of Doubt
,D!sappear
,Awake
,Blood and Wine
,Don't Need You Anymore
,Hollow
,Ideals
,Leave the Cage
,Parting From You
,神的女儿们
Hitori-bocchi no UFO,ひとりぼっちのユーエフオー
Nijiiro Yuuki,虹色勇気
,I Understand You
,Trading Sanity for Fantasy
,"Goodbye, Goodnight"
,"So Long, Farewell, Goodbye, Goodnight"
Huimanggomun,희망고문
,흔들리지마 넌 괜찮아
,Broken Hearts-
,It's Our Fault
,I KEEP MY EYES CLOSED
,Hide the World
,Need to Love
,Sweet Heart Conspiracy
,Unlock
,花中的梦
,言氏战鼓
,Kill the Heartbreaker
,One
,Where is my utopia?
,What a Wonderful World
,渺小的producer
,氤氲语
,今天的事
,Stay With Me
,Last of Me
,Morning
,Ocean's Call
,Her
,Li(f)e
,Red Flag
,Silent Sleep
,The Beautiful Stories
,Cynical Chemical
,The Other Sky
,Rooter's Song
,键盘侠的斗争哲学
,GOLDEN BLOOD
,Closest Star
,Porta Magica
,Strada Nera
,Solitaria Agonia
Shopan to Kouri no Hakken,ショパンと氷の白鍵
,Electro Bomb
,Amarte a morir
,Hasta el cielo
,Sueño con volverte a ver
,Party all the night Yeah!!
,夜女王
,Cloudburst caroller
,Interlude III
,iolite
,イレヴンレイヴガール
Ame to Kusari,飴と鎖
,Brella
,rainy
,Starlite★Lydian
,Target
,I_wanna_fly_up
Masumati Gaaru,マスマティガール
Kauntodaun,カウントダウン
Yumekake Uta,夢懸歌
Onii-san wa Shinpaishou,お兄さんは心配性
Oorudo Rajio,オールドラジオ
Hansuu to Fuka,反芻と孵化
Kuku no Uta,九九の歌
,Your 10%
,Because
,You Come For Me
,Zombies in Your Head
,Zanim Zniknę
Piero,ピエロ
,Unbecoming
,Mor iya sie
,It's All Clear Now
,One Big World
,门外
,Yandere Girlfriend
,You Saved Me
Tojinai Me,閉じない目
Sukuramaizu,スクラマイズ
,茕歌
,Walkaway
,高等卒业存在性证明
,Useless
,want
,Wendigo
"Matsuri da, Hey C'mon",祭りだヘイカモン
,仗剑歌
,Virus Code
Gekijou Ai Ka,劇場愛歌
,Pursue
,Gretel Twins
,Bright Stars
,Get Wet
,Regret
,Liar's Reward
,The Revenge
,X.Y.Z.
,Changes
,Me and My Friend Unicorn
,Waiting For You
,Collarbones
Natsu Sou Ei,夏葬詠
,骚红娘
Doro ni Nemuru Soko ni Nemuru,泥に眠る底に眠る
Taiyou Pakupaku,太陽ぱくぱく
Razuberii＊Monsutaa,ラズベリー＊モンスター
,undo
,Vojaĝo Lasta
last song ～Namida no Umi e～,last song ～涙の海へ～
,Poison and Divide
,Christmas Wish
,Too far to see.
,Reunion
,Cockroach
,Skyglow
,爱与谎言的赞歌
,ＡＬＣＡＮＯ
Shigetsu,弑月
,I hugged…
,Strangers
,Ricochet
,Cuban Screw
,Still There
,Wonderland
,반딧불자리
Koperunikusu,コペルニクス
,喵
Kago no Tori,籠の鳥
,The talking seed
,The Melody of Everything
,The Song of Prayer
,Tuesday Love Bird
,la malgrava peto
Perusonariti Conpurekkusu,ペルソナリティ・コンプレックス
Ai no Uta,愛の詩
"Kono Fuzaketa Subarashiki Sekai wa, Boku no Tame ni Aru",このふざけた素晴らしき世界は、僕の為にある
Boku no Sainou,僕のサイノウ
,live tomorrow
,faded fever
,Virtual Dance Floor
,My Little Garden
,How Deep is the Sea
,ドール
Haijitsu,廃日
Enkyori Koibito ni Aitai,遠距離恋人に会いたい
,Muling Magbalik
Shokuji,食事
,Beautiful Paradise
,AHSファンキー
,Fighting
,Specter
,Olysis
,Not the Same
,Nights of Fall
,Feel Alive
Kouon Chuu On'iki Tesuto,高音厨音域テスト
Miraikei Inosensu,未来景イノセンス
Saikorojikku,サイコロジック
,Star Chart
Limelight wa Chi o Aruku,ライムライトは地を歩く
Doraggu Sukoa,ドラッグスコア
Yume Hanabi,夢花火
Haatofuru Messeeji,ハートフルメッセージ
,梵高的向日葵
,HAKOBAKO PLAYER
,AHSクレイジー
,云在丹田
,祀雨师录
Neo Borago Imneun Chima Anigeodeun!,너 보라고 입는 치마 아니거든!
,一品粽
,失聪者
,Our Last Goodnight
,One Thousand Paper Snowflakes
Kakeochi Cycle,駆け落ちサイクル
Gurea,グレア
Amata Moyou,あまた模様
,Tostoncito
,The World Tonight
,Selfish
,LEO
,我们的弹幕青春
Sekai no Chuushin ni Kimi ga Iru,世界の中心に君がいる
Chuubyou Gekihatsu Boy,厨病激発ボーイ
Ai ga Tarinai,愛が足りない
Boudou,暴動
,breed
Akai Yuri -Lilium-,紅い百合 -Lilium-
Suiito Majikku,スイートマジック
Pari Eiga Shoujo,巴里映画少女
Fumenai Daichi to Te no Todoku Sora,踏めない大地と手のとどく空
,I'm A Synthesizer
,岁月成碑
Amedama,あめだま
,seed of lights
,Paradox Riddle
,Candy Kiss
,F.G.A.M.
,The Girl Next Door
Kabi Haeta Uta,カビはえたうた 
Wansuteppu Reiyaado,ワンステップ・レイヤード
,Genesis
,DIGITAL-TATTOO
Kusari,鎖
,Project Distortion
,Flightless
,Aria
Cheonsa,천사
,再做梗曲信不信我废了你！
Somsatang Kiss,솜사탕 키스
Sono Kuchibiru wa Shouwaru nari,その唇は性悪なり
Marionetto Shindoroomu,マリオネットシンドローム
,プリンセスシンドローム
,Of Kings and Queens
,The Maddening Distance
,The First Noel
,MISSING
,对眼儿
Gizumo,ぎずも
Nightingale ~Dangsin-eun Sarangbadgi Wihae Taeeonan Saram~,Nightingale ~당신은 사랑받기 위해 태어난 사람~
,Gene Machine
,Fields of the World
Boku no Naka no Ana,ぼくの　なかの　あな
,The Moon Above the Storm
,FINAL DANCE
,多角關係
Baibai Sukaiburuu,"""ばいばいスカイブルー"""
Setsuna Purasu,刹那プラス
,飞跃乌托邦
Sherbet Blue no Kaze,シャーベットブルーの風
Yonjuunana,ヨンジュウナナ
Akaito,アカイト
,2AM Dreamy Wonderland
,Ten Thousand Stars
Kuuchuu Yuuei,空中遊泳
Kyuukutsu no Tetsugaku,窮屈の哲学
Yume to Hazakura,夢と葉桜
Sasurau Tabibitotachi,さすらう旅人たち
,Middpoint ❣ Pro
,相思赋
,Hollow Motions With Twisted Afflictions
,This Song
Pedaru Haato,ペダルハート
,Black Butterfly
,Fish Sticks
,Fly With Me
,Is This Love?
,"""Jumpin'"""
,Moonlight
,Secret Night
,Switch Me On
Oni Mikage Enbu Kyou-Kitsune no Yomeiri-,鬼美影演舞狂-狐ノ嫁入リ-
GAME『Gakeppuchi』,GAME『崖っぷち』
Tousou Honnou,逃走本能
Tayutau Yumeji,揺蕩う夢路
,The World·难眠
"Towa ni Tsuzuku Gosenfu - You'll see the sign, and realize your sin.",永久に続く五線譜
Moshimo Kiyoteru Sensei ga Moto No.1 Host Dattara,もしもキヨテル先生が元No.1ホストだったら
,利刃繁花
,夏夕
Ai no Mayoigo,愛のまよいご
,Polaroid
,Take off!
,苍泪
,光之穹頂
,ベジタブル・ビューティフル
,Starset
,Don't go Away
,faelythic step
Sakura Uta Kanade,桜歌奏
,5:55
Rinkaaneeshon,リンカーネーション
,Breathe/M
,时间之门
,临战宣言
Naito Obu Raito,ナイト・オブ・ライト
"Toaru Shoufu no Koi - Yes, We are the Opium Prostitutes!",とある娼婦の恋
,干物女
Merankorii,メランコリー
Hoshifuru Yoru no Komori Uta,星降る夜の子守唄
,Daybreak
Saasha,サーシャ
Omaan Ko,オマーン湖
,Pacify
Emo Rabu,えもラブ
,飘摇
Jisatsu no Uta,自殺のうた
Ryuu Ten ni Noboru,龍天に登る
Issou Chigiri,一双契り
,Zo-RAP!
Shinryaku,侵略
,Mundo en Pixeles
,This Moment
,Sea for you
3-nen C-gumi 14-ban Kubozono Chiyoko no Nyuukaku,3年C組14番窪園チヨコの入閣
,桃花笑
Higen no Bara,緋弦の薔薇
,仙居谣
,Anyone Wants Everything
,潜移默化(失足少女)
,Euthanasia
,Asthma
,双面间谍
,HAPPY SUNDAY
,兔子先生
,心往
Nanatsu no Tsumi to Batsu,七つの罪と罰
,燕子
,西湖梦
Akatsuki Zukuyo - Akatsuki Zukuyo -,"暁月夜-アカツキヅクヨ-"""
,Prism Heart
,口嫌体正直
Luna ~Umi no Yousei~,ルナ　～海の妖精～
,Una Notte a Napoli
,Fantasia
Akai Mi Hajiketa,赤い実はじけた
,Respire
,A Wicked Girl and a Tin Boy
Sekai de Ichiban Chikaku ni Iru no ni,世界で一番近くに居るのに
,Santa Maria
,双向遗忘
Haitoku no Kioku ~The Lost Memory~,背徳の記憶〜The Lost Memory〜
Sakura no you na Koi Deshita,桜のような恋でした
,DISCO之王
Kusuri ,药
Uu Nyaa Puu,うーにゃーぷー
,霜雪千年
,My Impulse
,Devil's Adorable Disciple
,"Finally, The End Of The World! (Except Not Really)"
,Not Your Juggertone
,My Desire
,Tiger
,Wind of the One - eighty Days
,Wishes
,Heart's Lock
,Tender Wind
,ALL IS MUSIC!
Kimi no Merodii,君のメロディー
,Love*3
,Walk Alone
,The Blame
,Dawning Blue
,爱慕虚荣
,Halcyon
,Thousand Stars Love Message
,New Worlds God
,逐梦之翼
,簪春光
,CHAIN
,以死祈息
,Paper Plane
,ジャッジメント
Tokimeki Hapinesu☆,トキメキはぴねす☆
,落日余歌-启程之诗
,Have a Nice Day
,Engulfed by the Light
,Fly High
,Powder Snow
,龙耀无双
,葬歌
,梨花泽泽远山远
Kimi no Moto e,キミノモトヘ
Asu no Yozora Shoukaihan,アスノヨゾラ哨戒班
Yoru no Kakera,夜の欠片
Mistletoe ~Tensei no Yadorigi~,ミスルトウ～転生の宿り木～
Toukyou Zonbi Rando,東京ゾンビランド
,Uncertain Monster
,Bell1
,恋色旋律~有你的幸福
Koori no Netsujou,氷の熱情
Sakura Mau Ima,桜舞う 今
,World's Crying
,Carlo
,Velonica
"Gimi Rabu, Gimi Kisu",ギミラブ、ギミキス
,Missing
,Mimicry
,Title 1
,Bye-Bye Lover
Usotsuki Majo to Haiiro no Niji,嘘つき魔女と灰色の虹
,Bye-Bye
,Possibility
Maindo Boisu,マインドボイス
,Smoke and Mirrors
,金陵舟歌
,食己少女
,存在感零少女
,夜莺
,依存症
,THE END
,Illusion
,Comusicación
,长江7号奇妙世界
,花儿纳吉
Kimi e no Sasameki,君へのささめき
,哲学♂革命
,死神少女
,ROBOTiC WOLF!
Arutairu,Altair -アルタイル-
,贪恋
,stainless moon
,regeneration
,Gohatto Disco
,百鬼惜
,大時代
,Nightingale
,POV
Sayonakidori,サヨナキドリ
Ayumi no Michi,歩ノ路
Ronrii Puranetaria,ロンリィプラネタリア
,Crimson Camellia
,VERSUS
,limelight
,战狐
Rappa Fuki no Shounen,ラッパ吹きの少年
,非人憧憬
Sakura Maichirinu,桜舞イ散リヌ
Hana to Yume,花とゆめ
,Angel Rhythm
Sitijeunui Norae,시티즌의 노래
Nosutarujia,Nostalgia
,Hold
,DEAD or LOVE
,"""Mikunologie"""
,雨姬桩
,After The End Of A Dream
Haiburiddo GO GO,ハイブリッドGO GO
Setsugetsuka,刹月華
Kindan no Ruuretto,禁断のルーレット
,LIKE THE WIND
,Arrest Rose
Eunhasonyeo,은하소녀
,Wonder
,Only One
,Begins and Ends
,Shootin' Star
,A Harrowing Affair
Henachoko Knight,へなちょこナイト
Bankan Ginyuu,万感吟遊
Kurenai no Hana,紅の花
,ラスボス
Kuroi Taiyou,黒い太陽
Den Paradaimu,デンパラダイム
,classroom
Harukaze,春風
Sakurazukiyo,桜月夜
Anata o Matou,あなたを待とう
,你的阳光
,As The Vampire
,We Are Not Afraid
,peace
Rakuin,烙印
Wasurenaide,忘れないで
,One Day
Mada Aishiteru,まだ愛してる
Watashitachi no Kako,私たちの過去
,DIS//Ac
,cuantas porkerias
Haisukuuru Days,ハイスクール Days
"Merii Kurisumasu, Mai Hiiroo.",メリークリスマス、マイヒーロー。
,Secret Stage'
Anata ni Hana o Watashi ni Uta o,貴方に花を 私に唄を
,re;sonance/re;lease
Shigoto ni Ikitakunai Blues,仕事に行きたくないブルース
Purasuchikku・Gaaru,プラスチック・ガール
,樱桃
,Alchemy
,Two Weeks
Ofutun Furaingu Shisutemu,オフトゥンフライングシステム
,Brother Confrontation !
,Till the End of World
,Blue Star
,Vise de îndrăgostit
Sayonara Arigatou,さよならありがとう
,Little Princess
,RAINBOW
,UNDER CONSTRUCTION
,Girl Crush
,a Last Piece
Guren Hyakkiyakou,紅蓮百鬼夜行
,リープ
,Strange World
Nisemono Gyazaringu,偽物ギャザリング
,Fire Breath
,Start The Show
,fallout
,シャララ
Konya mo Sefusefu,今夜もｾﾌｾﾌ
,- UNLINK -
Pinku Supaidaa,ピンクスパイダー
,G.B.O.M
Dokutaa=Fankubiito,ドクター＝ファンクビート
,am
Cherii Cherii,チェリーチェリー
Dare mo Shiranai,誰も知らない
,寒叶霜
,Report
,Dilema
Rihaasaru,リハーサル
Jouren Patishiee,常連パティシエー
,FPS
,Another EYE
,NICE MATCHING!
Kuusou Teien Izonshou,空想庭園依存症
,"Someday, Sometime, Something, Somewhere"
Oyasumi no Uta,おやすみの唄
"Haepi Beoseudei Maseuteo!""",해피버스데이 마스터!
,The Ghost of Romantic Transceiver
Nugeba Ii tte Mon ja Nai!,脱げばいいってモンじゃない！
Ginsei no Arutemisu,銀聖のアルテミス
,Blade of lament
,Good School Girl
,塔楼物语
Sekai o Kowashiteiru,世界を壊している
,Ace Killer '69
,Paintër
Hakoniwa no Shoujo,箱庭の少女
Chaban Kapurishio,茶番カプリシオ
,奇妙与旋律
Heta Renka,ヘタ恋歌
,If Memory Serves Me
Goumou Haato,剛毛ハート
,overdrive
Kutsu o Awaseru Koto,靴を合わせること
"Kimi wa, Boka no,",キミハ、ボクノ、
,獨角戲
,ЯΛΝ！
Sandome no Fuyu,三度目の冬
Monokurōmumonorōgu,モノクロームモノローグ
Yasagu Renka,ヤサグ恋歌
,ノイズキャンセラー
Ancheindo Memorii,アンチェインド・メモリー
,黑白回忆
Penshiru Deizu,ペンシル・デイズ
,I'm cherry
,ユアハイネス☆マイプリンセス
,place to be
,soundless world
,Happy Brand New Days
,Escape Cityscape
,blue ray
,The Song That Crows Sing
,as ever
,FAIRYLAND
,Miss & Kiss
,红舞鞋
,アリアドネ
,club bitch
,I'll change you!
Tsubomizakura,蕾桜 -ツボミザクラ-
,红色核心
Rasuto Rasuto,ラストラスト
,Rainbow
Kuriaransu Seeru ・ Faitaa,クリアランスセール・ファイター
,I didn't buy Daina
,The Raven
Mujin Eki,無人駅
,A memory of the lullaby
amorphous -amorufasu-,amorphous -アモルファス-
,Disconnection
,Shadow in My Eye
,No Kueen
,A Big No-No
,blue night tears
,一重加害
,rise and set
,８ギガメモリー
"\Nekomimi, Suki desu ka!/",＼ネコミミ、好きですか！／
Usotsuki Shinduroomu,嘘吐きシンドローム
Owakare Bayashi,お別れ囃子
,盲
,A White Cat
Otonagai Shimasu,大人買いします
Himitsu no Shukumei,秘密の宿命
Geragera to Warauna,ゲラゲラと笑うな
Setsuna Doraibu,セツナドライブ
,Sensitive Nerd
Sutaasutoraku,スターストラク
Ibuki,息吹
,Dear Halcyon
Tajiu Jinkaku,タヂウ人格
Oha-Yo-del!!,おはヨーデル
Mebae,芽生
,Potato Kid
Sukotoomafobia,スコトーマフォビア
,琴妖
Tajuu Mirai no Karutetto ~QUARTET THEME~,多重未来のカルテット～QUARTET THEME～
,被嘲讽者的复仇
Koisuru Apuri,恋するアプリ
Ookami no Shounen no Tou,狼の少年の塔
Endorooru ni Boku no Namae o Irenaide,エンドロールに僕の名前をいれないで
Oni Kanojo,鬼彼女
,某某
Oshi Botan Shiki Densha wa Tsumetaku Atatakai,押し釦式電車は冷たく温かい
Yakiimo no Uta,やきいものうた
Editto Moodo no Uta,えでぃっともーどのうた
,スペルオブハロウズ
